                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.59957,                0.34821,                0.88862,                 0.9783,                0.96884,                0.98533,                0.84614,                0.52129,                0.27951,                0.84658,               0.001783,               0.001783,               0.001783
                     86,                0.59704,                 0.3466,                 0.8883,                0.97802,                0.96906,                0.98543,                 0.8458,                 0.5217,                0.27937,                0.84664,               0.001684,               0.001684,               0.001684
                     87,                0.59404,                 0.3444,                 0.8875,                0.97786,                0.96923,                0.98539,                0.84588,                 0.5216,                 0.2793,                0.84662,               0.001585,               0.001585,               0.001585
                     88,                0.59425,                0.34374,                0.88713,                0.97802,                0.96936,                0.98564,                0.84565,                0.52166,                 0.2793,                 0.8467,               0.001486,               0.001486,               0.001486
                     89,                0.59309,                0.34289,                0.88634,                0.97791,                0.96915,                0.98572,                0.84602,                0.52162,                0.27902,                 0.8466,               0.001387,               0.001387,               0.001387
                     90,                0.58937,                0.34271,                0.88659,                0.97764,                0.96976,                0.98569,                0.84616,                  0.521,                0.27887,                0.84649,               0.001288,               0.001288,               0.001288
                     91,                0.54508,                 0.2936,                0.85835,                0.97749,                0.96949,                 0.9857,                0.84599,                0.52144,                0.27911,                0.84659,               0.001189,               0.001189,               0.001189
                     92,                0.54162,                 0.2905,                0.85763,                0.97737,                0.96957,                0.98561,                0.84623,                0.52108,                0.27877,                0.84645,                0.00109,                0.00109,                0.00109
                     93,                0.53933,                0.28905,                0.85686,                0.97715,                0.96995,                0.98564,                0.84644,                0.52085,                0.27857,                0.84643,               0.000991,               0.000991,               0.000991
                     94,                0.53891,                0.28854,                0.85694,                0.97701,                0.96998,                0.98553,                0.84669,                0.52047,                0.27834,                0.84634,               0.000892,               0.000892,               0.000892
                     95,                0.53771,                0.28666,                0.85624,                0.97744,                0.96997,                0.98575,                0.84697,                0.52004,                0.27809,                0.84624,               0.000793,               0.000793,               0.000793
                     96,                0.53478,                0.28467,                 0.8549,                 0.9774,                 0.9699,                 0.9857,                0.84694,                0.52013,                0.27791,                 0.8462,               0.000694,               0.000694,               0.000694
                     97,                 0.5317,                0.28311,                0.85392,                0.97692,                0.96999,                0.98565,                0.84714,                0.51995,                0.27765,                0.84617,               0.000595,               0.000595,               0.000595
                     98,                0.53148,                 0.2823,                0.85423,                0.97722,                0.96996,                0.98562,                0.84732,                0.51983,                0.27746,                0.84608,               0.000496,               0.000496,               0.000496
                     99,                0.52983,                0.28101,                0.85388,                0.97704,                0.97021,                0.98565,                0.84743,                0.51974,                0.27737,                0.84605,               0.000397,               0.000397,               0.000397
                    100,                0.52737,                0.27985,                0.85162,                0.97698,                0.97005,                0.98548,                0.84744,                0.51968,                0.27737,                0.84605,               0.000298,               0.000298,               0.000298
